question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what are some words that describe movie [Bright Star],romantic|abbie cornish|ben whishaw|jane campion,romantic,"Romantic, Poetic, Historical, Tragic.", drama -> music hall entertainment company of london theater company of london theater company of london theater company of london theater company of london theater company of london theater company of london theater company of london theater company of london theater
can you give a few words describing [Nancy Drew],emma roberts,emma roberts,"Sleuth, detective, clever, independent, adventurous.", mystery drama thriller thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller
which topics is movie [The Return of Doctor X] about,humphrey bogart,vincent sherman,The Return of Doctor X., horror film -> horror film sequel -> horror film sequel sequel -> horror film sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel
which words describe [Raising Helen],helen mirren|kate hudson|abigail breslin|joan cusack|garry marshall|hayden panettiere|john corbett,hayden panettiere,"comedy, drama, family, romance, New York City", comedy drama romance family drama drama thriller thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller
can you give a few words describing [Go Fish],lesbian|chicago,chicago,Classic card game for children., comedy drama romance music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music
describe [Me and Orson Welles] in a few words,orson welles|richard linklater|claire danes|zac efron,zac efron,"Me and Orson Welles is a movie directed by Richard Linklater, released in 2008.", orson welles
describe [Jackie Brown] in a few words,quentin tarantino|samuel l. jackson|robert de niro|own|tarantino|cast|elmore leonard|pam grier|bridget fonda,samuel l. jackson,Jackie Brown.,jackie brown
which topics is movie [Drinking Buddies] about,drinking|chicago|anna kendrick|olivia wilde|jake johnson|joe swanberg,ron livingston,"The topics of the movie Drinking Buddies include friendship, relationships, infidelity, and alcohol consumption.", comedy drama romance family drama drama thriller drama thriller drama thriller drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama
which topics is movie [Fat Kid Rules the World] about,directorial debut,directorial debut,Fat Kid Rules the World doesn't have distinct topics., music video directorial debut
what are some words that describe movie [What Lies Beneath],horror|harrison ford|supernatural|robert zemeckis,robert zemeckis,"thriller, suspenseful, mysterious, gripping.", thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [The Last Drop],romania,robert de niro,N/A,crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe film [In Your Eyes],paranormal,paranormal,"romantic, drama, supernatural",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
